"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","def59_z_13","REBURN","FIRE.SEV"
"1","0",5,4.6,104.89,576.3,680.53,-0.293333292007446,"N",2
"2","0",4,1.1,1.1,543.18,358.37,0.699999998013178,"N",2
"3","0",2,85.84,85.84,559.66,665.56,0.706666648387909,"N",3
"4","0",19,29.32,45.24,619.05,376.63,0.120000014702479,"Y",1
"5","0",8,0,0,586.95,340.91,-0.586666653553645,"N",2
"6","1",18,39.73,53.44,635.63,618.78,0.320000012715658,"N",2
"7","1",11,0,0,498.44,617.2,-0.553333361943563,"Y",3
"8","0",19,18.28,28.68,473.7,486.73,0.143333355585734,"N",1
"9","1",7,9.39,100.75,513.83,724.55,0.396666680773099,"N",1
"10","1",10,171.11,179.92,531.97,697.19,-0.636666649331649,"N",2
"11","0",10,1.34,114.6,693.28,461.77,-1.38333336512248,"N",2
"12","0",6,0,17,724.23,616.25,0.540000002210339,"N",4
"13","0",1,17.16,121.09,664.71,577.24,-1.01666669050852,"Y",2
"14","0",4,54.5,165.46,636.22,731.48,0.666666676600774,"N",2
"15","0",4,55.35,79.16,739.33,485.32,0.816666672627131,"N",1
"16","0",4,0,10.53,582.18,718.94,0.72666667898496,"N",4
"17","0",4,0,0,725.63,496.49,0.760000010331472,"N",4
"18","0",4,0,2.76,782.13,489.69,0.830000023047129,"N",3
"19","0",4,8.19,10.73,785.89,503.35,0.870000004768372,"N",1
"20","1",4,0,0,577.22,621.83,0.723333348830541,"N",4
"21","0",10,43.96,43.96,559.47,541.9,-1.38333329806725,"N",4
"22","0",4,0,0,436.45,693.03,0.596666658918063,"N",3
"23","0",4,0,0,482.48,513.3,1.02000000079473,"N",4
"24","0",12,7.98,7.98,475.01,834.57,-0.64666669567426,"N",1
"25","0",17,138.55,144.55,596.08,673.98,0.229999989892046,"N",1
"26","1",14,0,0,617.84,554.21,-0.420000036557515,"N",4
"27","1",6,36.51,54.18,366.16,786.19,0.97666667898496,"Y",1
"28","0",14,23.28,103.64,445.15,657.8,-0.336666663487752,"Y",1
"29","0",7,19.8,43.68,534.48,461.06,1.0099999854962,"Y",1
"30","0",8,0,0,483.49,356.99,-0.233333319425583,"N",2
"31","0",3,0,0,542.54,319.82,0.333333319673936,"Y",3
"32","0",4,0,0,598.06,338.7,0.110000004371007,"N",3
"33","0",6,0,51.09,496.05,440.29,0.923333339393139,"Y",2
"34","0",12,10.45,10.45,533.64,392.93,-0.830000008145968,"N",2
"35","0",18,52.82,52.82,519.84,371.77,0.313333332538605,"N",1
"36","0",22,14.34,20.09,519.69,364.68,-0.526666651169459,"Y",1
"37","1",10,14.7,27.75,746.82,427.9,-1.6433333158493,"N",2
"38","1",6,40.17,87.36,545.64,693.98,0.720000018676122,"N",2
"39","0",11,73.37,73.37,647.93,519.4,-0.926666662096977,"N",2
"40","0",1,125.5,126.39,491.18,609.28,0.543333331743876,"N",4
"41","0",20,70.57,77.57,638.38,555.64,0.0433333218097687,"N",2
"42","0",2,42.95,81.74,577.25,620.5,0.383333325386047,"Y",2
"43","1",6,100.99,143.43,612.98,537.9,0.540000022078554,"Y",2
"44","0",7,19.92,167.4,616.68,760.07,0.560000019768874,"N",1
"45","0",3,0,2.68,704.15,734.65,-0.00999999543031057,"N",3
"46","0",4,20.17,35.48,759.65,523.11,0.286666651566823,"N",3
"47","1",12,57.58,117.29,623.35,595.18,-0.286666671435038,"N",1
"48","0",5,0,7.11,818.62,487.03,0.813333342472712,"N",3
"49","0",5,25.63,51.14,624.46,725.93,0.683333322405815,"N",3
"50","1",5,0,0,717.21,497.98,0.839999993642171,"N",4
"51","0",5,0,3.43,703.28,544.99,0.72666667898496,"N",3
"52","0",4,0,5.7,439.66,830.75,0.133333365122477,"Y",2
"53","0",5,0,0,472.81,505.92,0.616666674613953,"Y",3
"54","0",5,58.49,61.84,406.27,551.57,0.656666666269302,"Y",3
"55","1",13,27.03,27.03,510.85,823.09,-0.553333352009455,"N",3
"56","1",13,62.76,68.44,520.55,747.17,-0.516666680574417,"N",1
"57","0",18,24.37,49.85,412.45,867.22,0.346666678786278,"N",1
"58","1",15,0,0,648.4,526.36,-0.466666698455811,"N",3
"59","1",7,36.17,36.17,349.16,798.28,1.05000002185504,"Y",2
"60","0",19,114.24,136.09,381.74,659.66,-0.0333333338300387,"Y",2
"61","0",13,0,0,212.65,1253.27,-0.856666653727492,"N",4
"62","0",7,5.04,22.76,606,363.36,0.993333339691162,"N",1
"63","0",7,3.89,17.76,514.81,415.83,0.666666656732559,"N",1
"64","0",1,1.1,1.1,550.75,371.42,0.0600000073512395,"N",4
"65","0",5,23.81,23.81,550.03,360.69,0.410000013808409,"N",1
"66","0",5,8.29,8.29,465.51,376.11,0.219999993840853,"Y",3
"67","0",11,2.96,2.96,587.48,340.38,-0.550000001986822,"N",1
"68","0",1,40.24,40.24,575.58,310.99,0.219999993840853,"Y",3
"69","0",7,0,0,426.08,485.47,0.830000032981237,"N",2
"70","0",2,37.54,37.54,430.86,551.8,0.809999998658895,"N",1
"71","0",8,23.39,23.39,549.13,362.5,0.666666666666667,"N",2
"72","0",7,0,0,591.98,354.24,0.760000010331472,"N",1
"73","0",7,25.77,25.77,405.58,533.78,0.806666672229767,"Y",2
"74","0",7,2.15,2.15,429.65,495.96,0.930000009636084,"N",2
"75","1",13,28.42,28.42,498.5,409.64,-0.970000018676122,"N",1
"76","1",9,0,0,287.54,663.98,0.840000006059806,"N",3
"77","0",5,0,0,460.56,448.39,0.253333310286204,"N",4
"78","0",3,9.77,9.77,714.58,429.73,0.266666667535901,"N",2
"79","1",12,91.56,91.56,534.42,694.49,-0.656666643917561,"N",2
"80","0",2,58.98,58.98,465.72,605.22,0.540000011523565,"N",2
"81","1",6,0,0,446.04,867.33,0.740000019470851,"N",4
"82","0",18,0,67.93,703.97,735,-0.0100000301996867,"N",3
"83","1",6,0,9.65,781.87,494.84,0.803333322207133,"N",3
"84","0",6,54.44,59.74,833.15,427.55,0.833333333333333,"N",2
"85","0",6,18.61,53.98,773.13,492.56,0.853333334128062,"N",2
"86","0",6,65.68,65.68,653.41,566.5,0.686666662494341,"N",4
"87","0",6,0,0,713.7,595.28,0.730000019073486,"N",3
"88","0",6,108.44,110.1,539.9,761.47,0.689999997615814,"Y",1
"89","0",6,28.9,37.09,770.12,524.83,0.876666665077209,"N",1
"90","1",6,43.1,52.08,673.51,532.49,0.736666679382324,"N",1
"91","0",12,0,0.4,463.26,596.63,-1.60666662454605,"N",4
"92","0",6,43.3,43.3,399.64,719.25,0.609999984502792,"N",4
"93","0",8,0,0,533.29,456.16,1.1066666841507,"N",3
"94","0",6,0,0,550.29,496.68,0.319999992847443,"N",4
"95","0",6,0,0,391.44,450.74,0.676666657129923,"Y",3
"96","1",22,51.69,82.88,547.06,666.29,0.576666663090388,"N",1
"97","1",14,0.58,0.58,477.1,858.72,-0.52333332101504,"N",3
"98","1",16,0,0,614.79,558.77,-0.426666657129924,"N",4
"99","0",1,21,21,493.41,599.5,-0.359999980777502,"Y",1
"100","0",8,141.64,147.01,351.15,792.03,1.00333334008853,"Y",2
"101","0",5,58.63,88.17,300.48,953.44,0.159999986489614,"N",3
"102","0",1,5.63,50.14,413.55,520.01,-0.32000000278155,"Y",1
"103","0",2,59.3,88.95,355.98,657.78,0.393333335717519,"Y",2
"104","0",8,0,5.12,483.68,466.45,1.0766666730245,"Y",3
"106","0",8,11.6,77.92,383.55,455.96,0.646666646003723,"N",2
"107","0",6,5.69,5.69,489.12,363.38,0.23666667441527,"Y",2
"108","0",5,19.44,19.44,548.85,319.34,0.310000002384186,"N",2
"109","1",4,1.47,1.47,584.3,361.74,0.636666675408681,"N",3
"110","0",1,52.08,122.93,352.01,537.65,-0.146666660904884,"N",2
"111","0",5,0,0,487.95,399.4,0.540000006556511,"Y",1
"112","0",2,19.99,19.99,531.89,360.3,0.100000003973643,"N",2
"113","0",24,18.77,18.77,516.8,363.43,-0.469999998807907,"Y",2
