"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","FIRE.SEV"
"1",0,5,4.6,104.89,576.3,680.53,2
"2",0,4,1.1,1.1,543.18,358.37,2
"3",0,2,85.84,85.84,559.66,665.56,3
"4",0,19,29.32,45.24,619.05,376.63,1
"5",0,8,0,0,586.95,340.91,2
"6",1,18,39.73,53.44,635.63,618.78,2
"7",1,11,0,0,498.44,617.2,3
"8",0,19,18.28,28.68,473.7,486.73,1
"9",1,7,9.39,100.75,513.83,724.55,1
"10",1,10,171.11,179.92,531.97,697.19,2
"11",0,10,1.34,114.6,693.28,461.77,2
"12",0,6,0,17,724.23,616.25,4
"13",0,1,17.16,121.09,664.71,577.24,2
"14",0,4,54.5,165.46,636.22,731.48,2
"15",0,4,55.35,79.16,739.33,485.32,1
"16",0,4,0,10.53,582.18,718.94,4
"17",0,4,0,0,725.63,496.49,4
"18",0,4,0,2.76,782.13,489.69,3
"19",0,4,8.19,10.73,785.89,503.35,1
"20",1,4,0,0,577.22,621.83,4
"21",0,10,43.96,43.96,559.47,541.9,4
"22",0,4,0,0,436.45,693.03,3
"23",0,4,0,0,482.48,513.3,4
"24",0,12,7.98,7.98,475.01,834.57,1
"25",0,17,138.55,144.55,596.08,673.98,1
"26",1,14,0,0,617.84,554.21,4
"27",1,6,36.51,54.18,366.16,786.19,1
"28",0,14,23.28,103.64,445.15,657.8,1
"29",0,7,19.8,43.68,534.48,461.06,1
"30",0,8,0,0,483.49,356.99,2
"31",0,3,0,0,542.54,319.82,3
"32",0,4,0,0,598.06,338.7,3
"33",0,6,0,51.09,496.05,440.29,2
"34",0,12,10.45,10.45,533.64,392.93,2
"35",0,18,52.82,52.82,519.84,371.77,1
"36",0,22,14.34,20.09,519.69,364.68,1
"37",1,10,14.7,27.75,746.82,427.9,2
"38",1,6,40.17,87.36,545.64,693.98,2
"39",0,11,73.37,73.37,647.93,519.4,2
"40",0,1,125.5,126.39,491.18,609.28,4
"41",0,20,70.57,77.57,638.38,555.64,2
"42",0,2,42.95,81.74,577.25,620.5,2
"43",1,6,100.99,143.43,612.98,537.9,2
"44",0,7,19.92,167.4,616.68,760.07,1
"45",0,3,0,2.68,704.15,734.65,3
"46",0,4,20.17,35.48,759.65,523.11,3
"47",1,12,57.58,117.29,623.35,595.18,1
"48",0,5,0,7.11,818.62,487.03,3
"49",0,5,25.63,51.14,624.46,725.93,3
"50",1,5,0,0,717.21,497.98,4
"51",0,5,0,3.43,703.28,544.99,3
"52",0,4,0,5.7,439.66,830.75,2
"53",0,5,0,0,472.81,505.92,3
"54",0,5,58.49,61.84,406.27,551.57,3
"55",1,13,27.03,27.03,510.85,823.09,3
"56",1,13,62.76,68.44,520.55,747.17,1
"57",0,18,24.37,49.85,412.45,867.22,1
"58",1,15,0,0,648.4,526.36,3
"59",1,7,36.17,36.17,349.16,798.28,2
"60",0,19,114.24,136.09,381.74,659.66,2
"61",0,13,0,0,212.65,1253.27,4
"62",0,7,5.04,22.76,606,363.36,1
"63",0,7,3.89,17.76,514.81,415.83,1
"64",0,1,1.1,1.1,550.75,371.42,4
"65",0,5,23.81,23.81,550.03,360.69,1
"66",0,5,8.29,8.29,465.51,376.11,3
"67",0,11,2.96,2.96,587.48,340.38,1
"68",0,1,40.24,40.24,575.58,310.99,3
"69",0,7,0,0,426.08,485.47,2
"70",0,2,37.54,37.54,430.86,551.8,1
"71",0,8,23.39,23.39,549.13,362.5,2
"72",0,7,0,0,591.98,354.24,1
"73",0,7,25.77,25.77,405.58,533.78,2
"74",0,7,2.15,2.15,429.65,495.96,2
"75",1,13,28.42,28.42,498.5,409.64,1
"76",1,9,0,0,287.54,663.98,3
"77",0,5,0,0,460.56,448.39,4
"78",0,3,9.77,9.77,714.58,429.73,2
"79",1,12,91.56,91.56,534.42,694.49,2
"80",0,2,58.98,58.98,465.72,605.22,2
"81",1,6,0,0,446.04,867.33,4
"82",0,18,0,67.93,703.97,735,3
"83",1,6,0,9.65,781.87,494.84,3
"84",0,6,54.44,59.74,833.15,427.55,2
"85",0,6,18.61,53.98,773.13,492.56,2
"86",0,6,65.68,65.68,653.41,566.5,4
"87",0,6,0,0,713.7,595.28,3
"88",0,6,108.44,110.1,539.9,761.47,1
"89",0,6,28.9,37.09,770.12,524.83,1
"90",1,6,43.1,52.08,673.51,532.49,1
"91",0,12,0,0.4,463.26,596.63,4
"92",0,6,43.3,43.3,399.64,719.25,4
"93",0,8,0,0,533.29,456.16,3
"94",0,6,0,0,550.29,496.68,4
"95",0,6,0,0,391.44,450.74,3
"96",1,22,51.69,82.88,547.06,666.29,1
"97",1,14,0.58,0.58,477.1,858.72,3
"98",1,16,0,0,614.79,558.77,4
"99",0,1,21,21,493.41,599.5,1
"100",0,8,141.64,147.01,351.15,792.03,2
"101",0,5,58.63,88.17,300.48,953.44,3
"102",0,1,5.63,50.14,413.55,520.01,1
"103",0,2,59.3,88.95,355.98,657.78,2
"104",0,8,0,5.12,483.68,466.45,3
"105",1,8,122.11,130.82,476.41,588.78,NA
"106",0,8,11.6,77.92,383.55,455.96,2
"107",0,6,5.69,5.69,489.12,363.38,2
"108",0,5,19.44,19.44,548.85,319.34,2
"109",1,4,1.47,1.47,584.3,361.74,3
"110",0,1,52.08,122.93,352.01,537.65,2
"111",0,5,0,0,487.95,399.4,1
"112",0,2,19.99,19.99,531.89,360.3,2
"113",0,24,18.77,18.77,516.8,363.43,2
"114",0,5,0,0,561.46,453.36,4
"115",0,6,0,0,534.7,547.49,4
"116",1,1,45,45,407.6,555.59,1
"117",1,11,32.6,114.5,349.44,875,3
"118",1,13,76.7,140.14,552.41,692.14,2
"119",0,6,15.64,69.67,548.89,614.22,2
"120",0,9,0,12.69,566.8,626.88,3
"121",0,1,8.72,53.77,696.67,520.88,1
"122",0,3,0,5.51,708.18,636.26,2
"123",0,13,95.67,95.67,645.21,630.69,2
"124",1,6,15.51,92.07,781.27,375.31,1
"125",0,14,86.89,101.3,645.95,622.76,2
"126",0,7,2.69,51.76,709.17,516.17,1
"127",1,8,4.53,129.54,794.68,518.15,2
"128",0,7,0,0,543.42,742.94,4
"129",1,17,14.42,14.42,432.88,655.58,4
"130",0,3,47.87,82.44,559.2,661.69,2
"131",1,17,20.23,20.23,670.21,512.11,3
"132",0,11,1.38,1.38,496.33,551.74,3
"133",0,1,13.2,120.19,316.76,857.53,1
"134",0,2,0,46.46,490.95,624.55,NA
"135",0,2,78.95,96.44,368.96,765.58,3
"136",0,2,44.64,61.37,353.36,791.31,1
"137",0,13,0,0,568.23,455.99,4
"138",0,8,5.29,14.16,661.42,495.36,2
"139",0,7,1.89,4.21,394.46,723.36,3
"140",0,7,0,5.67,329.05,551.91,3
"141",1,6,8.26,8.26,542.32,381.76,2
"142",1,15,16.41,16.41,585.1,365.04,2
"143",0,9,3.48,6.32,469.83,346.64,2
"144",0,7,17.29,21.12,464.84,377.57,1
"145",0,18,67.14,172.67,311.72,480.58,1
"146",0,3,33.83,33.83,563.35,312.1,3
"147",0,2,0,0,285.17,464.09,2
"148",1,15,60.55,60.55,414.51,560.42,2
"149",1,2,66.23,95.06,431.48,462.99,1
"150",0,2,5.63,46.11,715.83,363.05,2
"151",0,2,10.42,79.25,615.05,519.59,2
"152",0,6,16.06,19.2,670.72,476.32,2
"153",0,5,30.76,111.34,748.42,514.8,2
"154",0,3,24.02,70.2,686.48,578.67,1
"155",0,5,47.01,81.61,548.44,638.92,2
"156",0,17,86.77,86.77,681.4,467.01,1
"157",1,2,78.22,78.22,741.58,440.85,2
"158",0,8,2.03,54.33,695.61,493.44,2
"159",0,1,4.34,4.34,730.65,496.37,2
"160",0,3,21.38,58.83,801.38,452.52,2
"161",0,5,42.2,51.02,687.29,491.68,1
"162",1,5,16.62,80.28,749.51,488.46,1
"163",0,4,109.52,109.52,753.35,470.01,2
"164",0,5,63.94,63.94,691.8,508.75,2
"165",0,7,0,72.87,702.45,513.07,1
"166",0,3,41.3,43.84,685.94,541.06,1
"167",0,5,5.15,20.29,821.73,475.75,2
"168",1,12,45.93,114.65,544.01,646.13,3
"169",1,12,0,0,442.76,737.12,4
"170",1,15,102.43,156.72,431.6,709.01,1
"171",0,20,15.12,15.12,875.6,305.01,2
"172",0,17,7.09,77.25,518.87,510.98,2
"173",0,7,9.26,9.26,484.04,517.89,1
"174",0,6,32.86,32.86,499.5,512.26,3
"175",0,5,30.18,36.67,470.22,522.6,4
"176",0,7,0,0,564.15,471.76,4
"177",0,7,0,0,654.14,456.61,4
"178",0,16,33.46,53.19,658.27,512.52,2
"179",1,4,17.85,33.44,561.99,582.55,2
"180",0,1,0,75.26,713.7,572.95,2
"181",0,11,46.06,137.33,596.24,627.85,2
"182",0,4,11.99,18.94,568.85,663.31,3
"183",0,6,9.88,18.14,590.04,627.58,2
"184",0,16,0,0,669.52,498.19,3
"185",0,3,0,0,580.06,543.04,3
"186",0,5,11.78,35.44,694.9,498.98,2
"187",1,4,56.13,74.22,623.21,531.92,2
"188",0,6,3.14,6.36,615.77,457.33,3
"189",0,9,0,0,477.3,542.97,4
"190",0,10,0,0.81,561.94,489.2,4
"191",1,4,160.48,162.8,506.94,594.72,2
"192",0,10,3.61,66.66,538.98,621.12,2
"193",0,12,0.58,9.97,554.82,606.84,3
"194",0,6,26.51,53.04,504.45,621.05,3
"195",0,9,9.12,42.93,622.26,587.72,2
"196",0,7,4.72,4.72,744.9,386.17,1
"197",0,8,20.67,125.89,526.56,501.01,1
"198",1,5,114.55,119.59,550.7,448.08,2
"199",1,12,11.27,20.45,507.05,518.48,3
"200",1,14,23.92,30.08,676.33,450.5,1
"201",0,11,84.05,103.93,502.66,545.67,1
"202",1,4,60.47,110.54,470.75,608.35,2
"203",0,9,51.47,63.12,444.35,576.04,2
"204",0,3,59.24,91.91,684.71,521.48,2
